Date,USD/CAD Close,USD/CAD High,USD/CAD Low
2001-11-01,1.5944,1.595,1.5882
2001-11-02,1.5915,1.5968,1.5894
2001-11-05,1.5938,1.5964,1.5896
2001-11-06,1.5918,1.5972,1.591
2001-11-07,1.59854,1.5997,1.589
2001-11-08,1.5989,1.5997,1.5952
2001-11-09,1.6035,1.6045,1.597
2001-11-12,1.603,1.6047,1.6011
2001-11-13,1.5944,1.604,1.5939
2001-11-14,1.5924,1.5943,1.5866
2001-11-15,1.5873,1.5924,1.5855
2001-11-16,1.5898,1.5931,1.5863
2001-11-19,1.5863,1.59,1.5823
2001-11-20,1.5949,1.5954,1.589
2001-11-21,1.6017,1.6027,1.594
2001-11-22,1.6,1.6029,1.5996
2001-11-23,1.5984,1.6005,1.5959
2001-11-26,1.6003,1.6019,1.5977
2001-11-27,1.595,1.5998,1.5914
2001-11-28,1.5843,1.5945,1.5831
2001-11-29,1.5812,1.585,1.5792
2001-11-30,1.5732,1.582,1.571
2001-12-03,1.5752,1.5779,1.5721
2001-12-04,1.5715,1.5777,1.5693
2001-12-05,1.572,1.5747,1.57
2001-12-06,1.5725,1.5777,1.571
2001-12-07,1.574,1.5768,1.5715
2001-12-10,1.5783,1.5798,1.5745
2001-12-11,1.5757,1.5789,1.573
2001-12-12,1.5662,1.5725,1.5639
2001-12-13,1.5674,1.5686,1.5654
2001-12-14,1.5604,1.571,1.5599
2001-12-17,1.5653,1.5663,1.5587
2001-12-18,1.5738,1.5755,1.5662
2001-12-19,1.5744,1.577,1.5723
2001-12-20,1.5783,1.5788,1.5738
2001-12-21,1.5855,1.5862,1.5785
2001-12-24,1.5969,1.6053,1.585
2001-12-25,1.5935,1.5955,1.5935
2001-12-26,1.6005,1.6018,1.5936
2001-12-27,1.5972,1.6045,1.5921
2001-12-28,1.5914,1.5989,1.5909
2001-12-31,1.5927,1.598,1.5886
2002-01-01,1.5927,1.5927,1.5927
2002-01-02,1.598,1.5993,1.591
2002-01-03,1.5975,1.5978,1.5915
2002-01-04,1.5973,1.5993,1.595
2002-01-07,1.5985,1.5988,1.5935
2002-01-08,1.5945,1.6021,1.5929
2002-01-09,1.5965,1.5973,1.5932
2002-01-10,1.6011,1.605,1.5963
