Date,EUR/USD Close,EUR/USD High,EUR/USD Low
2003-03-12,1.1003,1.1056,1.0983
2003-03-13,1.0807,1.1008,1.0795
2003-03-14,1.0742,1.0819,1.069
2003-03-17,1.0637,1.0843,1.0589
2003-03-18,1.0632,1.0655,1.0544
2003-03-19,1.057,1.0655,1.0555
2003-03-20,1.0606,1.0675,1.053
2003-03-21,1.053,1.0622,1.0501
2003-03-24,1.0645,1.0674,1.0568
2003-03-25,1.065,1.0722,1.0633
2003-03-26,1.0685,1.0703,1.0622
2003-03-27,1.0687,1.0744,1.0674
2003-03-28,1.078,1.0802,1.0671
2003-03-31,1.0915,1.0921,1.0782
2003-04-01,1.0908,1.0933,1.0867
2003-04-02,1.0767,1.0958,1.0751
2003-04-03,1.0735,1.079,1.0686
2003-04-04,1.073,1.0768,1.0685
2003-04-07,1.0658,1.0687,1.0561
2003-04-08,1.0716,1.0724,1.0642
2003-04-09,1.0757,1.0783,1.0677
2003-04-10,1.08,1.083,1.075
2003-04-11,1.0755,1.0788,1.0694
2003-04-14,1.078,1.081,1.0718
2003-04-15,1.0815,1.0821,1.0739
2003-04-16,1.0912,1.092,1.0784
2003-04-17,1.0881,1.0976,1.0868
2003-04-18,1.0884,1.0896,1.0873
2003-04-21,1.0865,1.091,1.082
2003-04-22,1.097,1.1002,1.0849
2003-04-23,1.097,1.0985,1.092
2003-04-24,1.103,1.1045,1.0941
2003-04-25,1.1025,1.1051,1.0958
2003-04-28,1.0985,1.1076,1.0977
2003-04-29,1.1068,1.1075,1.0933
2003-04-30,1.1176,1.1189,1.1064
2003-05-01,1.123,1.1287,1.1156
2003-05-02,1.1227,1.1271,1.1187
2003-05-05,1.1282,1.1303,1.1205
2003-05-06,1.1436,1.1453,1.1277
2003-05-07,1.137,1.144,1.133
2003-05-08,1.1497,1.1506,1.1311
2003-05-09,1.1491,1.1535,1.1438
