Date,GBP/CHF Close,GBP/CHF High,GBP/CHF Low
2006-08-30,2.3386,2.3421,2.3297
2006-08-31,2.3425,2.3477,2.334
2006-09-01,2.344,2.3497,2.3412
2006-09-04,2.3402,2.3444,2.3378
2006-09-05,2.3374,2.3458,2.3356
2006-09-06,2.3263,2.3387,2.3262
2006-09-07,2.3302,2.3334,2.3234
2006-09-08,2.3267,2.3325,2.3258
2006-09-11,2.3216,2.3305,2.3162
2006-09-12,2.3436,2.3451,2.317
2006-09-13,2.347,2.3499,2.3408
2006-09-14,2.363,2.3638,2.345
2006-09-15,2.3596,2.3714,2.3571
2006-09-18,2.3525,2.3631,2.3507
2006-09-19,2.355,2.3641,2.3493
2006-09-20,2.3601,2.3637,2.3541
2006-09-21,2.3657,2.3779,2.3591
2006-09-22,2.347,2.3648,2.3459
2006-09-25,2.3523,2.3554,2.3413
2006-09-26,2.3558,2.3616,2.3512
2006-09-27,2.3499,2.3573,2.3485
2006-09-28,2.338,2.352,2.3364
2006-09-29,2.3407,2.3464,2.3368
2006-10-02,2.3455,2.3461,2.3351
2006-10-03,2.3508,2.3525,2.3443
2006-10-04,2.3548,2.359,2.3471
2006-10-05,2.3527,2.3594,2.3501
2006-10-06,2.3589,2.3661,2.3489
2006-10-09,2.3553,2.3606,2.3494
2006-10-10,2.3554,2.3585,2.3516
2006-10-11,2.3588,2.3607,2.3544
2006-10-12,2.3584,2.362,2.3558
2006-10-13,2.3632,2.3684,2.3574
2006-10-16,2.3641,2.3687,2.3687
2006-10-17,2.3729,2.373,2.3616
2006-10-18,2.3726,2.3787,2.3704
2006-10-19,2.3605,2.3741,2.3592
2006-10-20,2.3711,2.3727,2.3581
2006-10-23,2.373,2.3747,2.368
2006-10-24,2.3729,2.3746,2.3705
2006-10-25,2.3738,2.3769,2.3719
2006-10-26,2.37,2.3761,2.368
2006-10-27,2.3675,2.3745,2.3671
2006-10-30,2.3736,2.3782,2.3673
2006-10-31,2.3716,2.3826,2.3711
2006-11-01,2.376,2.3778,2.3698
2006-11-02,2.3755,2.3784,2.3736
2006-11-03,2.3832,2.3849,2.3744
2006-11-06,2.3832,2.3854,2.3808
2006-11-07,2.3808,2.3857,2.379
2006-11-08,2.3822,2.3824,2.3755
2006-11-09,2.3685,2.3829,2.3666
2006-11-10,2.371,2.3724,2.3628
2006-11-13,2.3661,2.3697,2.3615
2006-11-14,2.3573,2.3682,2.3568
2006-11-15,2.3546,2.3648,2.3527
2006-11-16,2.3558,2.359,2.3527
2006-11-17,2.3582,2.3623,2.3554
2006-11-20,2.3598,2.3603,2.3514
2006-11-21,2.3572,2.3628,2.3561
2006-11-22,2.3491,2.3598,2.3483
2006-11-23,2.3439,2.3501,2.3396
2006-11-24,2.3363,2.3453,2.334
2006-11-27,2.3371,2.3418,2.3346
2006-11-28,2.3484,2.3541,2.3376
2006-11-29,2.3511,2.3583,2.3466
2006-11-30,2.3557,2.3615,2.3524
2006-12-01,2.3624,2.3667,2.3543
2006-12-04,2.3648,2.3697,2.359
2006-12-05,2.3621,2.3645,2.3491
2006-12-06,2.3511,2.356,2.348
2006-12-07,2.3467,2.3531,2.345
